Place,Reviews,Sentiment
gardens-by-the-bay,went with my girlfriend to gardens by the bay and we managed to clock in   steps gigantic garden with lots of wonderful attractions my girlfriend loves flower dome but i would prefer the cloud forest floral fantasy was kind of in the middle for both of us foods though are quite limited in selection we went to marina square to have our dinner instead,Positive
gardens-by-the-bay,review is solely for the gardens an iconic landmark of singapore the gardens by the bay combine culture architecture and ingenuity that impressively represent the city state of singapore located in the heart of the city there are several areas within the garden that you can go see there are also several towers that are distinct from one another fortunately my friend from singapore had a few free passes that allowed us to go up  of the towers the fee is not exorbitant and relatively cheap there are several tours that are offered but literally everything is written in english so there is not a big problem with learning on your own every evening there is a light show for the gardens by the bay that is definitely worth watching you can see the light show from the famous marina bay sands hotel balcony either paying  for a cover charge or simply buying a drink there is a lot to explore but my favorite part of the garden was what a call the bio dome of plants essentially within a controlled sheltered environment nearly flora represented from every country was flourishing further on the hot day the bio dome was actually cold the engineering of the bio dome allows for cool air not manufactured by some giant a c pretty darn green friendly this is destination is a must but be prepared it gets hot in the day there are so many places to take a date here as well oh if only nice,Positive
gardens-by-the-bay,it is nice to see it by day to see the structure and how it is assembled if you want to see the full beauty of it see it at night it is much cooler and more rewarding to see it lighted up it is still nice to walk and meander around the area during the day and you must go up to the cloud by the forest nearby if you are already here anyways the cloud forest was mostly why i made the jaunt to the gardens it is cool to see the gardens by the bay floral homage up close too it is a nice stepping stone to see other great things,Positive
gardens-by-the-bay,expect to be mesmerized by this enchanting garden leaving u full of ooooooohhhhs and aaaaahhhhhhhs lights come alive daily at    p look for the area with the most number of trees relatively close to each other for the best views singaporeans do not mess around when it comes to time so be on time i do not remember exactly how long each show lasted but it was a good   minutes of jaw dropping magnificence best yet this show costs zero zippo nada dollars that is all there is to know now go get wowed well after we kick the shit out of covid,Positive
gardens-by-the-bay,wow all i can say is wow this place is amazing it is ginormous with lots of different sections to visit entry to the garden is free but it does cost extra to go up to the super tree observatories or greenhouses the place is clean and well maintained great place for romantic strolls family excursions morning jogs you name it at night gardens by the bay is transformed to a beautiful wonderland the dragonfly bridge is gorgeous and overlooks a small pond that is filled with giant colorful rubber beach balls at night it makes for such a romantic walk the supertree grove is where you definitely have to be in the evening every night there is a light show complete with orchestral music the lights glitter with the rhythm of the music and the sound system is incredible practically everyone has their heads craned upwards completely enthralled a must go for anyone visiting singapore,Positive
gardens-by-the-bay,unfortunately we did not get to see the supertrees skyway due to the rain the last two days we went here they closed the ocbc skyway observatory deck due to safety reasons i mean that is good but bad timing for us our ticket lasts  months so we will see if we come back or give it away there are no refund if we miss the opportunity to go it is unfortunate the trees were beautiful decorated with plants and flowers especially during their light show at pm you have to stay close by the area to reserve a seat to see this an hour before the light show we saw this afar and it was beautiful none the less hopefully you do not come here during the rainy season and miss this like us it would be well worth the advance purchase at least we got to see the cloud and flower domes since it is covered,Negative
gardens-by-the-bay,we came to check out gardens by the bay on a wednesday afternoon and it was not busy at all i do not know if the coronavirus was to blame or maybe because it was a weekday but it made it nice and easy for us to go through the exhibits we walked through the supertree grove first to get to the skyway it was a great view of the city but probably not recommended for those scared of heights it was a windy day also so it was a little bit scary for me on the narrower sides of the skyway i have seen photos of the supertree grove at night and i think that would be a diffferent experience but equally as magnificent as in the daytime it is a pretty short bridge but i think it is fairly priced at  sgd per person because of the amazing views we went through the cloud forest after to get out of the warm sun it had such beautiful architecture and vegetation inside it seems small at first but there are so many different levels and areas to walk through there were several other attractions here but those were the only two we had time to visit if you can carve out a full morning or afternoon i would definitely recommend it they have package deals for tickets so you can visit multiple attractions with a discounted rate as well,Positive
gardens-by-the-bay,you have to visit gardens by the bay there is really something for everyone to see here not only is it a beautiful place but it is full of culture and history here you will see plants from around the world and they tell a story they display plants and tell where they are from and the timeframes of when they originated there are also sculptures of animals from around the world and other general sculptures for kids they have a play area with water to cool down so much to see and you will learn something new along the way i ran into people from around the world here and even some that i went to college with in arizona united states,Positive
gardens-by-the-bay,gardens by the bay is every bit as cool as i was led to believe by multiple sources we skipped the ticketed sections as we were short on time but still enjoyed walking through the free public spaces getting around the park is easy with the helpful maps and there are plenty of concessions if you are feeling hungry or thirsty i had a delicious iced mocha from the coffee spot last but not least there is a taxi queue for when you are ready to move along i would love to spend more time here and check out some of the ticketed areas on a future singapore visit,Positive
gardens-by-the-bay,a gorgeous new addition to singapore is waterfront that played a role in crazy rich asians some sites like the two conservatories flower dome cloud forest and the overhead skyway connecting the supertrees charge admission but for most it is a pleasant totally free experience whether a nice walk around beautifully landscaped and well tended grounds admiring the supertrees from down below or having fun with the kids at the children is garden and water fountain there is lots for everyone to do there are even two nightly light and music shows at the supertrees it is all so pretty and stunning in fact that you would almost be excused for looking up at everything instead of keeping track of the footpath in front of you or of others all around stay alert and there should be plenty of room for all,Positive
gardens-by-the-bay,this is a must visit attraction plan to spend the whole day here and be prepared for a lot of walking the park is pretty no matter what time of the day you visit however it gets really beautiful once it gets dark and everything is lit up the park itself is free and you can walk around an enjoy quite a bit here without purchasing any ticket however i would recommend doing a couple of attractions like cloud forest flower dome or the skywalk you will need to purchase tickets for each of those you get a beautiful view of the whole city and the various attractions like marina bay sands singapore flyer and merlion from various parts of the park and do stay for the light show in the evening you will be dead tired at the end of the day but it is well worth the time spent here,Positive
gardens-by-the-bay,i was so thrilled to be back in singapore with my husband gardens was on top of our must see list and it was just as spectacular as i remembered it highlight was floral fantasy it was not open when i came in  so i was beyond excited because i love flowers i have to say it was breathtaking i think i had my mouth open walking through the garden the amount of work put in each hanging flower ball is insane hubby liked the cloud forest more the waterfall was incredible and he liked the rainforest feel inside the dome def a destination you must not miss when in sin,Positive
gardens-by-the-bay,gardens by the bay is one of the must visit attractions when visiting singapore the gardens are pretty big so there is plenty to walk around and see the best part is that most of the park is free you can choose to pay to go into the different special exhibitions and even do a skywalk on the top of the super trees if you are planning to do this it is cheaper to buy a package ticket for a few of the attractions the grounds have everything you could need there is a shuttle service that will take you around to the different areas there are plenty of bathrooms and even  different food courts for eating when visiting definitely plan to spend an entire day here the grounds are beautiful and i definitely recommend paying extra for the tickets to see the cloud forest and flower dome you should then end the day by sticking around for the light show at night which is also free grab some food at the nearby food court and pick a spot on the lawn to take in the show,Positive
gardens-by-the-bay,this was a fun activity for our trip we ate at the seafood restaurant followed by the combo pass for the flower dome and waterfall dome then walked around the garden a bit i highly recommend walking from the garden to the marina sands hotel the bridge across has a wonderful view of the iconic hotel skywheel and garden this is a free and awesome part my favorite dome was the waterfall it was really engaging rare flowers extinct in the wild carvings and even lego art mixed in some educational videos as well flower walls for instagram photo opts galore wear a bright dress i would recommend read that has plenty of movement to twirl around and get your instagram content the seafood restaurant portions are to share the prices looked really high but when split between   they are more reasonable,Positive
gardens-by-the-bay,it is one of the two must visit attractions while you are in singapore especially if you are into nature it is separate as one is a flower dome while the other is a cloud forest you can see the skyline of singapore and of the bay it was decorated with christmas displays which made it more lovely again it is must if you are in singapore,Positive
gardens-by-the-bay,a must visit the outdoor park is free itself but you have to pay to visit in the indoor gardens the cloud dome was our favourite with the indoor waterfall it was also a great spot to cool off from the brutal humidity the park features are incredible and very photo worthy especially the super trees and the cool egg floaties in the water with view of the marina bay sands in the background,Positive
gardens-by-the-bay,you would be a fool to miss this especially at night when the light show is happening the floral exhibits are ado worth seeing but either come early or late because it tends to be overcrowded,Negative
